"Country","People Living with T1D","People who should still be alive today","Healthy years of life lost per person","Healthy years of life lost to treatment","Healthy years of life lost to treatment (Peers)","Healthy years of life lost to complications","Healthy years of life lost to complications (Peers)","Healthy years of life lost to shorter life","Healthy years of life lost to shorter life (Peers)","Healthy years of life lost to cost of care","Healthy years of life lost to cost of care (Peers)","Healthy years of life lost to mental health","Healthy years of life lost to mental health (Peers)","Healthy years of life lost to quality of life","Healthy years of life lost to quality of life (Peers)","Healthy years stolen","Healthy years stolen (Peers)","Healthy years remaining","Healthy years remaining (Peers)","Percentage of families impacted by T1D in 1990","Percentage of families impacted by T1D in 2022","Percentage of families impacted by T1D in 2040","T1D growth from 2000-2000","T1D growth from 2000-2001","T1D growth from 2000-2002","T1D growth from 2000-2003","T1D growth from 2000-2004","T1D growth from 2000-2005","T1D growth from 2000-2006","T1D growth from 2000-2007","T1D growth from 2000-2008","T1D growth from 2000-2009","T1D growth from 2000-2010","T1D growth from 2000-2011","T1D growth from 2000-2012","T1D growth from 2000-2013","T1D growth from 2000-2014","T1D growth from 2000-2015","T1D growth from 2000-2016","T1D growth from 2000-2017","T1D growth from 2000-2018","T1D growth from 2000-2019","T1D growth from 2000-2020","T1D growth from 2000-2021","T1D growth from 2000-2022","Population growth from 2000-2000","Population growth from 2000-2001","Population growth from 2000-2002","Population growth from 2000-2003","Population growth from 2000-2004","Population growth from 2000-2005","Population growth from 2000-2006","Population growth from 2000-2007","Population growth from 2000-2008","Population growth from 2000-2009","Population growth from 2000-2010","Population growth from 2000-2011","Population growth from 2000-2012","Population growth from 2000-2013","Population growth from 2000-2014","Population growth from 2000-2015","Population growth from 2000-2016","Population growth from 2000-2017","Population growth from 2000-2018","Population growth from 2000-2019","Population growth from 2000-2020","Population growth from 2000-2021","Population growth from 2000-2022","T2D growth from 2000-2000","T2D growth from 2000-2001","T2D growth from 2000-2002","T2D growth from 2000-2003","T2D growth from 2000-2004","T2D growth from 2000-2005","T2D growth from 2000-2006","T2D growth from 2000-2007","T2D growth from 2000-2008","T2D growth from 2000-2009","T2D growth from 2000-2010","T2D growth from 2000-2011","T2D growth from 2000-2012","T2D growth from 2000-2013","T2D growth from 2000-2014","T2D growth from 2000-2015","T2D growth from 2000-2016","T2D growth from 2000-2017","T2D growth from 2000-2018","T2D growth from 2000-2019","T2D growth from 2000-2020","T2D growth from 2000-2021","T2D growth from 2000-2022","HIV growth from 2000-2000","HIV growth from 2000-2001","HIV growth from 2000-2002","HIV growth from 2000-2003","HIV growth from 2000-2004","HIV growth from 2000-2005","HIV growth from 2000-2006","HIV growth from 2000-2007","HIV growth from 2000-2008","HIV growth from 2000-2009","HIV growth from 2000-2010","HIV growth from 2000-2011","HIV growth from 2000-2012","HIV growth from 2000-2013","HIV growth from 2000-2014","HIV growth from 2000-2015","HIV growth from 2000-2016","HIV growth from 2000-2017","HIV growth from 2000-2018","HIV growth from 2000-2019","HIV growth from 2000-2020","HIV growth from 2000-2021","HIV growth from 2000-2022","Asthma growth from 2000-2000","Asthma growth from 2000-2001","Asthma growth from 2000-2002","Asthma growth from 2000-2003","Asthma growth from 2000-2004","Asthma growth from 2000-2005","Asthma growth from 2000-2006","Asthma growth from 2000-2007","Asthma growth from 2000-2008","Asthma growth from 2000-2009","Asthma growth from 2000-2010","Asthma growth from 2000-2011","Asthma growth from 2000-2012","Asthma growth from 2000-2013","Asthma growth from 2000-2014","Asthma growth from 2000-2015","Asthma growth from 2000-2016","Asthma growth from 2000-2017","Asthma growth from 2000-2018","Asthma growth from 2000-2019","Asthma growth from 2000-2020","Asthma growth from 2000-2021","Asthma growth from 2000-2022","Tuberculosis growth from 2000-2000","Tuberculosis growth from 2000-2001","Tuberculosis growth from 2000-2002","Tuberculosis growth from 2000-2003","Tuberculosis growth from 2000-2004","Tuberculosis growth from 2000-2005","Tuberculosis growth from 2000-2006","Tuberculosis growth from 2000-2007","Tuberculosis growth from 2000-2008","Tuberculosis growth from 2000-2009","Tuberculosis growth from 2000-2010","Tuberculosis growth from 2000-2011","Tuberculosis growth from 2000-2012","Tuberculosis growth from 2000-2013","Tuberculosis growth from 2000-2014","Tuberculosis growth from 2000-2015","Tuberculosis growth from 2000-2016","Tuberculosis growth from 2000-2017","Tuberculosis growth from 2000-2018","Tuberculosis growth from 2000-2019","Tuberculosis growth from 2000-2020","Tuberculosis growth from 2000-2021","Tuberculosis growth from 2000-2022","Life expectancy from age 10","Healthy years lost when developing T1D","Healthy years restored with onset diagnosis","Perctange of children with T1D undiagnosed","Uncelebrated birthdays this year","Educational poster cost in dollars","Healthy years restored with insulin and strips","Lives lost without insulin and strips","Uncelebrated birthdays this year2","Healthy hours restored with each test strip","Healthy years restored with device uptake","Days per year managing T1D without devices","Days per year restored through devices","T1D_growth_rate","Population_growth_rate","HIV_growth_rate","T2D_growth_rate","Asthma_growth_rate","Tuberculosis_growth_rate","t1d_index_dashboar_url","t1d_index_version"
"East Asia & Pacific",854473.62,313823.57,33.04,2.15,1.182,6.87,4.578,24.020000000000003,17.366000000000003,"TBD","TBD","TBD","TBD","TBD","TBD",33.04,25.951999999999998,44.629999999999995,52.708000000000006,"0.13%","0.28%","0.47%","100%","107.16%","114.5%","121.59%","128.56%","136.15%","143.58%","151.12%","158.05%","165.14%","173.19%","181.46%","190.39%","199.69%","209.19%","219.01%","228.81%","238.62%","248.58%","258.76%","269.06%","279.45%","289.92%","100%","100.84%","101.65%","102.44%","103.22%","103.99%","104.76%","105.52%","106.28%","107.05%","107.82%","108.61%","109.39%","110.18%","110.95%","111.71%","112.44%","113.15%","113.82%","114.47%","115.08%","115.64%","116.17%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.67,33.04,4.2,"5%",71464.97,1,10.4,125529.51,71464.97,1.8235831027646372,5.6,18,41.25568268180486,4.96,0.68,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=1011","1.0.4.15"
"Europe & Central Asia",3017884.58,746325.6,24.419999999999995,2.62,1.182,6.06,4.578,15.740000000000002,17.366000000000003,"TBD","TBD","TBD","TBD","TBD","TBD",24.419999999999995,25.951999999999998,54.56,52.708000000000006,"0.96%","1.8%","3.49%","100%","103.84%","107.63%","111.71%","116.15%","120.7%","125.1%","129.68%","134.36%","139.08%","144.03%","148.94%","154.09%","159.43%","164.75%","170.23%","175.83%","181.52%","187.42%","193.54%","199.83%","206.05%","212.39%","100%","100.2%","100.44%","100.72%","101.03%","101.36%","101.7%","102.06%","102.44%","102.83%","103.25%","103.68%","104.12%","104.57%","105.02%","105.47%","105.91%","106.35%","106.76%","107.12%","107.42%","107.65%","107.81%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.98,24.419999999999995,1.9,"1.9%",72380.51,1,3.7,185806.87,72380.51,1.8235831027646372,5.4,18,41.25568268180486,3.48,0.34,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=1007","1.0.4.15"
"GLOBAL",8746562.18,3860335.02,32.08,1.96,1.182,5.66,4.578,24.459999999999994,17.366000000000003,"TBD","TBD","TBD","TBD","TBD","TBD",32.08,25.951999999999998,42.440000000000005,52.708000000000006,"0.31%","0.61%","0.94%","100%","104.48%","109.26%","114.39%","119.73%","125.54%","131.48%","137.74%","144.06%","150.56%","157.44%","164.5%","171.73%","179.3%","187.14%","195%","203.04%","211.29%","219.77%","228.5%","237.52%","246.64%","256.1%","100%","101.29%","102.58%","103.87%","105.17%","106.48%","107.81%","109.15%","110.51%","111.87%","113.24%","114.61%","115.99%","117.37%","118.75%","120.12%","121.49%","122.86%","124.21%","125.55%","126.87%","128.18%","129.46%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.52,32.08,2.7,"6.3%",616579.4,1,11.3,1597497.27,616579.4,1.8235831027646372,6.2,18,41.25568268180486,4.37,1.18,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=1001","1.0.4.15"
"HIC",4712748.65,709047.62,20.869999999999997,2.99,1.182,6.92,4.578,10.96,17.366000000000003,"TBD","TBD","TBD","TBD","TBD","TBD",20.869999999999997,25.951999999999998,60.959999999999994,52.708000000000006,"0.61%","1.55%","2.4%","100%","103.69%","107.56%","111.81%","116.39%","121.27%","126.21%","131.32%","136.47%","141.6%","146.78%","151.95%","157.26%","162.67%","168.03%","173.4%","178.76%","184.11%","189.57%","195.16%","200.89%","206.52%","212.31%","100%","100.63%","101.27%","101.92%","102.6%","103.32%","104.08%","104.87%","105.67%","106.45%","107.19%","107.89%","108.54%","109.15%","109.73%","110.29%","110.83%","111.35%","111.83%","112.28%","112.69%","113.05%","113.38%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.83,20.869999999999997,0.3,"0.1%",3645.97,1,0.9,94357.16,3645.97,1.8235831027646372,5.6,18,41.25568268180486,3.48,0.57,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=1005","1.0.4.15"
"Latin America & Caribbean",902394.38,362866.62,32.41,2.12,1.182,6,4.578,24.289999999999992,17.366000000000003,"TBD","TBD","TBD","TBD","TBD","TBD",32.41,25.951999999999998,45.3,52.708000000000006,"0.4%","0.48%","0.68%","100%","104.81%","110.91%","117.57%","123.01%","129.41%","135.97%","143.01%","149.8%","156.95%","165.2%","174.03%","181.59%","189.78%","199.59%","207.5%","215.75%","224.71%","233.82%","243.1%","252.63%","262.44%","272.75%","100%","101.41%","102.8%","104.16%","105.5%","106.83%","108.15%","109.46%","110.75%","112.04%","113.31%","114.59%","115.85%","117.1%","118.34%","119.55%","120.74%","121.91%","123.06%","124.19%","125.3%","126.41%","127.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.71,32.41,3.5,"4.7%",99798.44,1,7.3,96638.89,99798.44,1.8235831027646372,6.8,18,41.25568268180486,4.67,1.11,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=1010","1.0.4.15"
"LIC",229481.36,515133.88,48.57,0.64,1.182,1.55,4.578,46.38,17.366000000000003,"TBD","TBD","TBD","TBD","TBD","TBD",48.57,25.951999999999998,21.32,52.708000000000006,"1.16%","1.33%","1.64%","100%","107.13%","114.83%","123.42%","132.71%","142.77%","153.45%","164.99%","177.22%","190.12%","203.65%","217.58%","232.18%","247.99%","265.09%","283.15%","302.18%","322.83%","344.85%","367.74%","392.1%","417.44%","444.31%","100%","102.83%","105.77%","108.81%","111.95%","115.16%","118.46%","121.84%","125.28%","128.75%","132.23%","135.72%","139.22%","142.77%","146.4%","150.15%","154.02%","158.01%","162.13%","166.38%","170.77%","175.3%","179.97%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.89,48.57,3.5,"23%",88120.15,1,23.2,292083.73,88120.15,1.8235831027646372,6.9,18,41.25568268180486,7.01,2.71,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=1002","1.0.4.15"
"LMIC",1665996.73,1685746.59,42.53000000000001,1.27,1.182,5.13,4.578,36.13,17.366000000000003,"TBD","TBD","TBD","TBD","TBD","TBD",42.53000000000001,25.951999999999998,29.810000000000002,52.708000000000006,"0.69%","0.72%","0.96%","100%","107.04%","114.79%","123.23%","132.27%","142.05%","152.36%","163.59%","175.6%","188.5%","202.47%","217.03%","232.53%","248.95%","266.18%","284.36%","303.42%","322.81%","342.84%","363.73%","385.61%","408.26%","432.03%","100%","101.8%","103.6%","105.4%","107.2%","109.01%","110.83%","112.65%","114.49%","116.34%","118.19%","120.04%","121.9%","123.76%","125.63%","127.51%","129.39%","131.28%","133.17%","135.06%","136.95%","138.82%","140.7%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.34,42.53000000000001,3.2,"10.2%",280764.36,1,20.5,945184.86,280764.36,1.8235831027646372,6.3,18,41.25568268180486,6.88,1.56,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=1004","1.0.4.15"
"Middle East & North Africa",910308.76,272275.45,33.76,2.09,1.182,7.8,4.578,23.869999999999997,17.366000000000003,"TBD","TBD","TBD","TBD","TBD","TBD",33.76,25.951999999999998,42.62,52.708000000000006,"1.5%","1.8%","2.99%","100%","107.98%","116.58%","125.91%","136.05%","147.01%","158.83%","171.69%","185.49%","200.17%","215.84%","232.35%","250.13%","269.06%","289.19%","310.59%","332.65%","355.76%","380.21%","405.97%","433.37%","462.52%","493.37%","100%","101.89%","103.8%","105.77%","107.84%","110.02%","112.34%","114.77%","117.29%","119.84%","122.4%","124.94%","127.48%","130.01%","132.52%","135.01%","137.47%","139.9%","142.32%","144.76%","147.23%","149.75%","152.3%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.38,33.76,3.4,"5.6%",74841.46,1,12.7,115898.48,74841.46,1.8235831027646372,5.6,18,41.25568268180486,7.52,1.93,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=1008","1.0.4.15"
"North America",1732622.75,336370.22,22.17,2.85,1.182,6.76,4.578,12.560000000000002,17.366000000000003,"TBD","TBD","TBD","TBD","TBD","TBD",22.17,25.951999999999998,58.17,52.708000000000006,"2.64%","3.47%","3.84%","100%","102.79%","105.85%","109.3%","113.06%","117.48%","122.24%","127.17%","132.04%","136.79%","141.35%","145.95%","150.6%","155.33%","160.01%","164.57%","169.06%","173.6%","178.16%","182.74%","187.44%","192%","196.76%","100%","101.02%","101.97%","102.88%","103.8%","104.76%","105.76%","106.8%","107.85%","108.88%","109.88%","110.83%","111.74%","112.61%","113.46%","114.28%","115.07%","115.85%","116.6%","117.33%","118.06%","118.77%","119.48%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.34,22.17,0,"0%",0,1,0.8,40166.41,0,1.8235831027646372,7,18,41.25568268180486,3.12,0.81,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=1012","1.0.4.15"
"South Asia",948233.86,1011313.28,45.19,1.16,1.182,4.44,4.578,39.59,17.366000000000003,"TBD","TBD","TBD","TBD","TBD","TBD",45.19,25.951999999999998,28.49,52.708000000000006,"0.87%","0.66%","0.72%","100%","107.27%","115.29%","124.01%","133.24%","143.17%","153.55%","164.9%","176.89%","189.73%","203.66%","218.05%","233.06%","248.68%","264.77%","281.52%","299.23%","316.83%","334.55%","352.78%","371.45%","390.32%","410.08%","100%","101.86%","103.72%","105.56%","107.39%","109.2%","110.98%","112.73%","114.45%","116.15%","117.82%","119.45%","121.06%","122.64%","124.21%","125.77%","127.32%","128.87%","130.41%","131.94%","133.46%","134.96%","136.44%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.68,45.19,3,"9.2%",163938.38,1,21.5,583112.74,163938.38,1.8235831027646372,6.4,18,41.25568268180486,6.62,1.42,NA,NA,NA,NA,"https://t1dindex.shinyapps.io/dashboard/?loc_id=1006","1.0.4.15"
