,,,Date,,,Age group,,,Incidence,,Confidence Interval,,,,,,,,,,,,,,,,
Assigned to,Country,world_bank_name,Start,End,Gender,Min,Max,Cases,Mean,Incidence Rate Ratio (IRR),Min,Max,Max/Min,Standard Deviation,Standard Error,Source,Image,Comments,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,M,0,4,1308,15.09,,15.1,16.8,11%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,M,5,9,1971,23.8,,22.7,24.8,9%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,M,10,14,2770,32.5,,31.3,33.8,8%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,M,0,14,6049,24.2,,23.6,24.8,5%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,F,0,4,1094,13.9,,13.1,14.7,12%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,F,5,9,2036,25.6,,24.5,26.7,9%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,F,10,14,2396,29.4,,28.2,30.6,9%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,F,0,14,5526,23,,22.4,23.7,6%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,M+F,0,4,2402,14.9,,14.3,15.5,8%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,M+F,5,9,4007,24.7,,23.9,25.4,6%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,M+F,10,14,5166,31,,30.2,31.9,6%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2000,2011,M+F,0,14,11575,23.6,,23.2,24,3%,,,Haynes (2015),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,M,0,4,1785,15.8,,15.1,16.5,9%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,M,5,9,2814,25.1,,24.2,26.1,8%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,M,10,14,3917,35.2,,34.1,36.3,6%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,M,0,14,8516,25.3,,24.8,25.9,4%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,F,0,4,1547,14.4,,13.7,15.2,11%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,F,5,9,2956,27.8,,26.8,28.8,7%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,F,10,14,3444,32.6,,31.5,33.7,7%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,F,0,14,7947,23,,22.4,23.7,6%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,M+F,0,4,3332,15.1,,14.6,15.7,8%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,M+F,5,9,5770,26.4,,25.8,27.1,5%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,M+F,10,14,7361,33.4,,32.6,34.2,5%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Australia,Australia,2002,2017,M+F,0,14,16463,25,,24.6,25.4,3%,,,Haynes (2020),,,,,,,,,,,
Priyanka,Algeria,Algeria,1973,1977,M+F,0,15,2358,2.46,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,1978,1982,M+F,0,15,,3.69,,,,#DIV/0!,,,Touhami (2019),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Algeria,Algeria,1983,1987,M+F,0,15,,4.95,,,,#DIV/0!,,,Touhami (2019),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Algeria,Algeria,1988,1992,M+F,0,15,,7.62,,,,#DIV/0!,,,Touhami (2019),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Algeria,Algeria,1993,1997,M+F,0,15,,8.75,,,,#DIV/0!,,,Touhami (2019),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Algeria,Algeria,1998,2002,M+F,0,15,,12.64,,,,#DIV/0!,,,Touhami (2019),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Algeria,Algeria,2003,2007,M+F,0,15,,16.97,,,,#DIV/0!,,,Touhami (2019),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Algeria,Algeria,2008,2012,M+F,0,15,,22.06,,,,#DIV/0!,,,Touhami (2019),,"Current values in T1D index, using midpoint years",,,,,,,,,
Priyanka,Algeria,Algeria,2013,2017,M+F,0,15,,31.12,,27.9,34.23,23%,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,2015,M+F,0,5,,22.62,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,2015,M+F,5,9,,36.92,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,2015,M+F,10,14,,37.93,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,2008,M+F,0,5,,,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,2008,M+F,5,9,,,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,2008,M+F,10,14,,,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,1988,M+F,0,5,,,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,1988,M+F,5,9,,,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,1988,M+F,10,14,,,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,1978,M+F,0,5,,,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,1978,M+F,5,9,,,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Algeria,Algeria,,1978,M+F,10,14,,,,,,#DIV/0!,,,Touhami (2019),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2007,M,0,18,35,7.62,,,,#DIV/0!,1.28,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2008,M,0,18,31,6.91,,,,#DIV/0!,1.24,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2009,M,0,18,29,6.62,,,,#DIV/0!,1.22,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2010,M,0,18,30,7.02,,,,#DIV/0!,1.28,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2011,M,0,18,33,7.89,,,,#DIV/0!,1.37,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2012,M,0,18,44,10.63,,,,#DIV/0!,1.6,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2007,F,0,18,25,5.95,,,,#DIV/0!,1.19,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2008,F,0,18,23,5.64,,,,#DIV/0!,1.17,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2009,F,0,18,22,5.57,,,,#DIV/0!,1.18,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2010,F,0,18,25,6.53,,,,#DIV/0!,1.31,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2011,F,0,18,21,5.64,,,,#DIV/0!,1.23,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2012,F,0,18,27,7.34,,,,#DIV/0!,1.41,,Navasardyan (2014),,,,,,,,,,,
Priyanka,Armenia,Armenia,,2007,M+F,0,18,60,6.82,,,,#DIV/0!,0.88,,Navasardyan (2014),,Current values in T1D Index,,,,,,,,,
Priyanka,Armenia,Armenia,,2008,M+F,0,18,54,6.31,,,,#DIV/0!,0.85,,Navasardyan (2014),,Current values in T1D Index,,,,,,,,,
Priyanka,Armenia,Armenia,,2009,M+F,0,18,51,6.1,,,,#DIV/0!,0.85,,Navasardyan (2014),,Current values in T1D Index,,,,,,,,,
Priyanka,Armenia,Armenia,,2010,M+F,0,18,55,6.79,,,,#DIV/0!,0.91,,Navasardyan (2014),,Current values in T1D Index,,,,,,,,,
Priyanka,Armenia,Armenia,,2011,M+F,0,18,54,6.83,,,,#DIV/0!,0.93,,Navasardyan (2014),,Current values in T1D Index,,,,,,,,,
Priyanka,Armenia,Armenia,,2012,M+F,0,18,71,9.08,,,,#DIV/0!,1.08,,Navasardyan (2014),,Current values in T1D Index,,,,,,,,,
