world_bank_name,united_nations_name,sub_saharan_africa,drop_country,world_bank_code,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,jdrf_broad_region_code,legacy_region_code,legacy_region_name,loc_id,broad_region_id,region_id
Afghanistan,Afghanistan,FALSE,FALSE,AFG,LIC,South Asia,Asia-Pacific,APAC,EMME,Middle East & North Africa,4,2,10
Albania,Albania,FALSE,FALSE,ALB,UMIC,Western Europe,Europe,EUR,EUR,Europe,8,3,13
Algeria,Algeria,FALSE,FALSE,DZA,UMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,12,4,7
Angola,Angola,TRUE,FALSE,AGO,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,24,4,12
Antigua and Barbuda,Antigua and Barbuda,FALSE,FALSE,ATG,HIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,28,1,2
Argentina,Argentina,FALSE,FALSE,ARG,HIC,South America,Americas,AMER,SACA,South America & Central America,32,1,9
Armenia,Armenia,FALSE,FALSE,ARM,UMIC,Middle East,Middle East and Africa,MEA,EUR,Europe,51,4,5
Aruba,Aruba,FALSE,TRUE,ABW,HIC,Central America and The Caribbean,Americas,AMER,N/A,North America & Carribbean,533,1,2
Australia,Australia,FALSE,FALSE,AUS,HIC,Australasia,Asia-Pacific,MEA,WP,Western Pacific,36,2,1
Austria,Austria,FALSE,FALSE,AUT,HIC,Western Europe,Europe,EUR,EUR,Europe,40,3,13
Azerbaijan,Azerbaijan,FALSE,FALSE,AZE,UMIC,Middle East,Middle East and Africa,MEA,EUR,Europe,31,4,5
Bahamas,Bahamas,FALSE,FALSE,BHS,HIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,44,1,2
Bahrain,Bahrain,FALSE,FALSE,BHR,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,48,4,5
Bangladesh,Bangladesh,FALSE,FALSE,BGD,LMIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,50,2,10
Barbados,Barbados,FALSE,FALSE,BRB,HIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,52,1,2
Belarus,Belarus,FALSE,FALSE,BLR,UMIC,Eastern Europe,Europe,EUR,EUR,Europe,112,3,4
Belgium,Belgium,FALSE,FALSE,BEL,HIC,Western Europe,Europe,EUR,EUR,Europe,56,3,13
Belize,Belize,FALSE,FALSE,BLZ,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,84,1,2
Benin,Benin,TRUE,FALSE,BEN,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,204,4,12
Bhutan,Bhutan,FALSE,FALSE,BTN,LMIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,64,2,10
Bolivia,Bolivia (Plurinational State of),FALSE,FALSE,BOL,LMIC,South America,Americas,AMER,SACA,South America & Central America,68,1,9
Bosnia and Herzegovina,Bosnia and Herzegovina,FALSE,FALSE,BIH,UMIC,Western Europe,Europe,EUR,EUR,Europe,70,3,13
Botswana,Botswana,TRUE,FALSE,BWA,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,72,4,12
Brazil,Brazil,FALSE,FALSE,BRA,UMIC,South America,Americas,AMER,SACA,South America & Central America,76,1,9
Brunei Darussalam,Brunei Darussalam,FALSE,FALSE,BRN,HIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,96,2,11
Bulgaria,Bulgaria,FALSE,FALSE,BGR,UMIC,Eastern Europe,Europe,EUR,EUR,Europe,100,3,4
Burkina Faso,Burkina Faso,TRUE,FALSE,BFA,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,854,4,12
Burundi,Burundi,TRUE,FALSE,BDI,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,108,4,12
Cambodia,Cambodia,FALSE,FALSE,KHM,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,116,2,11
Cameroon,Cameroon,TRUE,FALSE,CMR,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,120,4,12
