,,Date,,,Age group,,,Mortality,,,,,,,
Assigned to,Country,Start,End,Gender,Min,Max,Deaths,SMR,Min,Max,Standard Deviation,Standard Error,Source,Image,Comments
,Australia,1997,2003,M,0,9,2,0.75,0.19,2.99,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,M,10,19,37,3.26,2.36,4.49,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,M,20,29,101,2.56,2.11,3.11,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,M,30,39,258,4.09,3.62,4.62,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,M,40,49,582,4.69,4.33,5.09,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,M,50,59,533,3.75,3.45,4.08,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,M,60,69,55,2.01,1.54,2.62,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,M,70,79,47,2.1,1.58,2.41,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,M,80,89,23,2.42,1.61,3.64,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,F,0,9,1,0.56,0.08,4,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,F,10,19,41,7.77,5.72,10.56,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,F,20,29,80,5.91,4.75,7.36,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,F,30,39,159,4.57,3.92,5.34,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,F,40,49,315,4.72,4.23,5.27,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,F,50,59,284,4.36,3.88,4.89,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,F,60,69,30,2.52,1.76,3.6,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,F,70,79,28,2.81,1.99,3.95,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,1997,2003,F,80,89,18,2.25,1.42,3.57,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,M,0,9,3,1.21,0.39,3.74,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,M,10,19,32,3.06,2.16,4.32,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,M,20,29,95,2.95,2.41,3.61,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,M,30,39,236,4.08,3.59,4.653,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,M,40,49,505,4.39,4.02,4.79,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,M,50,59,780,3.37,3.14,3.61,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,M,60,69,402,2.6,2.36,2.87,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,M,70,79,80,2.25,1.81,2.8,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,M,80,89,46,2.13,1.59,2.84,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,F,0,9,3,1.73,0.56,5.36,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,F,10,19,20,3.98,2.57,6.17,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,F,20,29,81,6.91,5.56,8.59,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,F,30,39,137,4.95,4.19,5.85,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,F,40,49,313,4.22,3.77,4.71,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,F,50,59,467,4.02,3.67,4.4,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,F,60,69,237,3.4,3,3.87,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,F,70,79,64,3.12,2.44,3.98,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Australia,2004,2010,F,80,89,34,2.53,1.81,3.54,,,Harding (2014),,Average of M+F SMR currently used in T1D Index
,Saudi Arabia,2004,2009,M,0,4,13.9,,,,,,,,
,Saudi Arabia,2004,2009,M,5,9,26.5,,,,,,,,
,Saudi Arabia,2004,2009,M,10,12,,,,,,,,,
,Saudi Arabia,2004,2009,F,0,4,,,,,,,,,
,Saudi Arabia,2004,2009,F,5,9,,,,,,,,,
,Saudi Arabia,2004,2009,F,10,12,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
YW,Australia,1987,2011,M,1,4,0,,,,,,O'Grady (2013),,
YW,Australia,1987,2011,M,5,9,0,,,,,,O'Grady (2013),,
YW,Australia,1987,2011,M,10,14,2,3.2,0.4,11.5,,,O'Grady (2013),,
YW,Australia,1987,2011,M,15,17,4,2.4,0.6,6.1,,,O'Grady (2013),,
YW,Australia,1987,2011,M,1,17,6,2.2,0.8,4.7,,,O'Grady (2013),,
YW,Australia,1987,2011,F,1,4,0,,,,,,O'Grady (2013),,
YW,Australia,1987,2011,F,5,9,1,4.9,0.1,27,,,O'Grady (2013),,
YW,Australia,1987,2011,F,10,14,3,6.9,1.4,20.4,,,O'Grady (2013),,
YW,Australia,1987,2011,F,15,17,3,4.6,0.9,13.2,,,O'Grady (2013),,
YW,Australia,1987,2011,F,1,17,7,4.6,1.9,9.6,,,O'Grady (2013),,
YW,Australia,1987,2011,M+F,1,4,0,,,,,,O'Grady (2013),,
YW,Australia,1987,2011,M+F,5,9,1,1.9,0,10.8,,,O'Grady (2013),,
YW,Australia,1987,2011,M+F,10,14,5,4.6,1.5,10.8,,,O'Grady (2013),,
YW,Australia,1987,2011,M+F,15,17,7,3,1.2,6.1,,,O'Grady (2013),,
YW,Australia,1987,2011,M+F,1,17,13,3.1,1.7,5.3,,,O'Grady (2013),,
YW,Democratic Republic of the Congo,1994,2004,M+F,0,30,159,3.62,3.1,4.2,,,Muyer (2010),,
YW,Estonia,1980,1995,M,0,30,8,4.14,1.79,8.15,,,Podar (2000),,
YW,Estonia,1980,1995,F,0,30,4,4.86,1.32,12.44,,,Podar (2000),,
YW,Estonia,1980,1995,M+F,0,30,12,4.35,2.25,7.61,,,Podar (2000),,
YW,Finland,1970,1994,M+F,0,34,68,3.5,2.7,4.4,,,Harjutsalo (2011),,
YW,Finland,1975,1999,M+F,0,34,64,3.4,2.6,4.3,,,Harjutsalo (2011),,
YW,Finland,1979,2004,M+F,0,34,57,3,2.3,3.9,,,Harjutsalo (2011),,
YW,Finland,1985,2007,M+F,0,34,19,1.9,1.2,2.9,,,Harjutsalo (2011),,
YW,Finland,1970,1994,M+F,15,49,49,1.4,1,1.8,,,Harjutsalo (2011),,
YW,Finland,1975,1999,M+F,15,49,58,1.8,1.4,2.3,,,Harjutsalo (2011),,
YW,Finland,1979,2004,M+F,15,49,71,2.2,1.8,2.8,,,Harjutsalo (2011),,
