world_bank_name,income,year_diagnosis_start,year_censor,cases,person_years,deaths,mortality_rate_per1000py,smr,max_diagnosis_age,study_ref,study,authors,year_published,notes
Australia,High,1987,2011,698,17453,13,0.74,3.10,17,3,Standardised mortality is increased three-fold in a population-based sample of children and adolescents with type 1 diabetes,"O'Grady, M J; Delaney, J; Jones, T W; {others}",2013,"- ""analysis showed a reduction from 0.3/1000 (95% CI, 0.28–0.33) to 0.17/1000 (95% CI, 0.15–0.2) person-years between the initial and most recent 5-yr periods."""
Austria,High,1989,2003,1989,14744,6,0.41,1.20,14,4,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,"Patterson, C C; Dahlquist, G; Harjutsalo, V; Joner, G; Feltbower, R G; Svensson, J; Schober, E; Gyürüs, E; Castell, C; Urbonaité, B; Rosenbauer, J; Iotova, V; Thorsson, A V; Soltész, G",2007,
Germany,High,1989,2005,757,5027,4,0.80,2.80,14,4,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,"Patterson, C C; Dahlquist, G; Harjutsalo, V; Joner, G; Feltbower, R G; Svensson, J; Schober, E; Gyürüs, E; Castell, C; Urbonaité, B; Rosenbauer, J; Iotova, V; Thorsson, A V; Soltész, G",2007,
Hungary,High,1989,2002,1968,13341,5,0.37,1.10,14,4,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,"Patterson, C C; Dahlquist, G; Harjutsalo, V; Joner, G; Feltbower, R G; Svensson, J; Schober, E; Gyürüs, E; Castell, C; Urbonaité, B; Rosenbauer, J; Iotova, V; Thorsson, A V; Soltész, G",2007,
Iceland,High,1989,2005,151,1311,0,0.00,0.00,14,4,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,"Patterson, C C; Dahlquist, G; Harjutsalo, V; Joner, G; Feltbower, R G; Svensson, J; Schober, E; Gyürüs, E; Castell, C; Urbonaité, B; Rosenbauer, J; Iotova, V; Thorsson, A V; Soltész, G",2007,
Lithuania,High,1989,2005,1006,7568,15,1.98,2.90,14,4,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,"Patterson, C C; Dahlquist, G; Harjutsalo, V; Joner, G; Feltbower, R G; Svensson, J; Schober, E; Gyürüs, E; Castell, C; Urbonaité, B; Rosenbauer, J; Iotova, V; Thorsson, A V; Soltész, G",2007,
Spain,High,1989,2005,1809,18736,3,0.16,0.40,14,4,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,"Patterson, C C; Dahlquist, G; Harjutsalo, V; Joner, G; Feltbower, R G; Svensson, J; Schober, E; Gyürüs, E; Castell, C; Urbonaité, B; Rosenbauer, J; Iotova, V; Thorsson, A V; Soltész, G",2007,
Bulgaria,Middle,1989,2004,443,4069,10,2.46,4.70,14,4,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,"Patterson, C C; Dahlquist, G; Harjutsalo, V; Joner, G; Feltbower, R G; Svensson, J; Schober, E; Gyürüs, E; Castell, C; Urbonaité, B; Rosenbauer, J; Iotova, V; Thorsson, A V; Soltész, G",2007,
Denmark,High,1987,2011,1904,17337,49,2.83,4.80,20,5,Increased mortality in a Danish cohort of young people with Type 1 diabetes mellitus followed for 24 years,"Sandahl, K; Nielsen, L B; Svensson, J; Johannesen, J; Pociot, F; Mortensen, H B; Hougaard, P; Broe, R; Rasmussen, M L; Grauslund, J; Peto, T; Olsen, B S",2017,
Estonia,High,1980,1995,518,3164,12,3.79,4.35,15,6,"Mortality in patients with childhood-onset type 1 diabetes in Finland, Estonia, and Lithuania: follow-up of nationwide cohorts","Podar, T; Solntsev, A; Reunanen, A; Urbonaite, B; Zalinkevicius, R; Karvonen, M; LaPorte, R E; Tuomilehto, J",2000,
Finland,High,1980,2014,10737,106992,84,0.79,2.58,14,7,Excess Mortality in Patients With Type 1 Diabetes Without Albuminuria—Separating the Contribution of Early and Late Risks,"Groop, Per-Henrik; Thomas, Merlin; Feodoroff, Maija; Forsblom, Carol; Harjutsalo, Valma",2018,"- ""The standardized mortality ratio (SMR) was increased during the first 10 years after the diagnosis""
- Table 1: Three different cohorts (80-89, 90-99, 00-05). Shows increasing SMR."
