include,study,year_published,world_bank_name,data_source,notes,min_diagnosis_age,max_diagnosis_age,min_attained_age,max_attained_age,year_diagnosis_start,year_diagnosis_end,year_censor,cases,person_years,deaths,mortality_rate_per1000py,smr,age_at_diagnosis_data,age_at_death_data,condition_duration_data,cohorts
1,Incidence and characteristics of childhood- and youth-onset diabetes in the Qalandarabad area in northern Pakistan,2020,Pakistan,,,0,24,,,2014,2019,2019,88,246.3,3,12.2000,9.4,TRUE,FALSE,FALSE,
,Geographic variation in mortality among individuals with youth-onset diabetes mellitus across the world,1997,Multiple,,Evaluates the T1D mortality rates for ages 0 to 24 years then adjusts for the frequency of IDDM in each country. Table of mortality ratios relative to Norway.,,24,,,,,,,,,,,,,,
,Cause-specific mortality in a cohort of Brazilian patients with type 1 diabetes.,2017,Brazil,,Already done,,,,,,,,,,,,,,,,
,Standardised mortality is increased three-fold in a population-based sample of children and adolescents with type 1 diabetes,2013,Australia,,Already done,,,,,,,,,,,,,,,,
,Mortality and Cardiovascular Disease in Type 1 and Type 2 Diabetes.,2017,Sweden,,Cox regression shows T1D mortality decreases 29% from 1998-2014 compared to control group decrease of 23%.,,,,,1998,,2014,36869,,,,,,,,
,Trends in death rates among U.S. adults with and without diabetes between 1997 and 2006: findings from the National Health Interview Survey.,2012,United States,,Doesn't split T1D and T2D numbers. Compared 3-year death rates. All-cause death rate declined by 23%.,,,,,1997,,2006,,,,,,,,,
1,Cause-specific mortality trends in a nationwide population-based cohort of childhood-onset type 1 diabetes in Japan during 35 years of follow-up: the DERI Mortality Study.,2013,Japan,,Only 25 year follow up for cohorts available. This is why deaths in cohorts don't add to all observed deaths (223).,0,17,,,1965,1969,1994,,6128,76,12.402,19.3,FALSE,FALSE,FALSE,TRUE
1,Cause-specific mortality trends in a nationwide population-based cohort of childhood-onset type 1 diabetes in Japan during 35 years of follow-up: the DERI Mortality Study.,2013,Japan,,Only 25 year follow up for cohorts available. This is why deaths in cohorts don't add to all observed deaths (223).,0,17,,,1975,1979,1999,,17994,61,3.390,6.6,FALSE,FALSE,FALSE,TRUE
,Mortality in juvenile diabetes mellitus over 25 years.,1976,United Kingdom,,No patient-years numbers. No mortality rate. Just deaths per year.,,14,,,1950,1974,1974,,,,,,,,,
1,"The British Diabetic Association Cohort Study, I: all-cause mortality in patients with insulin-treated diabetes mellitus.",1999,United Kingdom,Several UK registers,Predominantly (94%) T1D. Table 3 shows age and mortality rate/SMR data.,0,29,1,9,1972,1993,1997,,30941,25,0.808,3.15,TRUE,TRUE,TRUE,FALSE
1,"The British Diabetic Association Cohort Study, I: all-cause mortality in patients with insulin-treated diabetes mellitus.",1999,United Kingdom,Several UK registers,Predominantly (94%) T1D. Table 3 shows age and mortality rate/SMR data.,0,29,10,19,1972,1993,1997,,129575,131,1.011,2.95,TRUE,TRUE,TRUE,FALSE
1,"The British Diabetic Association Cohort Study, I: all-cause mortality in patients with insulin-treated diabetes mellitus.",1999,United Kingdom,Several UK registers,Predominantly (94%) T1D. Table 3 shows age and mortality rate/SMR data.,0,29,20,29,1972,1993,1997,,105735,236,2.232,4.3,TRUE,TRUE,TRUE,FALSE
1,"The British Diabetic Association Cohort Study, I: all-cause mortality in patients with insulin-treated diabetes mellitus.",1999,United Kingdom,Several UK registers,Predominantly (94%) T1D. Table 3 shows age and mortality rate/SMR data.,0,29,30,39,1972,1993,1997,,33598,125,3.721,4.3,TRUE,TRUE,TRUE,FALSE
1,"The British Diabetic Association Cohort Study, I: all-cause mortality in patients with insulin-treated diabetes mellitus.",1999,United Kingdom,Several UK registers,Predominantly (94%) T1D. Table 3 shows age and mortality rate/SMR data.,0,29,40,49,1972,1993,1997,,11341,114,10.052,4.25,TRUE,TRUE,TRUE,FALSE
1,"The British Diabetic Association Cohort Study, I: all-cause mortality in patients with insulin-treated diabetes mellitus.",1999,United Kingdom,Several UK registers,Predominantly (94%) T1D. Table 3 shows age and mortality rate/SMR data.,0,29,50,59,1972,1993,1997,,5643,128,22.681,3.2,TRUE,TRUE,TRUE,FALSE
1,"The British Diabetic Association Cohort Study, I: all-cause mortality in patients with insulin-treated diabetes mellitus.",1999,United Kingdom,Several UK registers,Predominantly (94%) T1D. Table 3 shows age and mortality rate/SMR data.,0,29,60,69,1972,1993,1997,,2562,138,53.871,2.8,TRUE,TRUE,TRUE,FALSE
1,"The British Diabetic Association Cohort Study, I: all-cause mortality in patients with insulin-treated diabetes mellitus.",1999,United Kingdom,Several UK registers,Predominantly (94%) T1D. Table 3 shows age and mortality rate/SMR data.,0,29,70,84,1972,1993,1997,,646,52,80.543,1.7,TRUE,TRUE,TRUE,FALSE
1,Excess mortality in incident cases of diabetes mellitus aged 15 to 34 years at diagnosis: a population-based study (DISS) in Sweden.,2006,Sweden,,,15,34,,,1983,1999,1999,4968,43531,83,1.9067,1.8,,,,
,Mortality in youth-onset type 1 and type 2 diabetes: The SEARCH for Diabetes in Youth study,2018,United States,,Already done,,,,,,,,,,,,,,,,
1,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,2007,Denmark,EURODIAB,"Shows mortality breakdowns by attained age, time since diagnosis and cohort, but no significant differences between each group (Table 2). Some countries have already been included, but there are additional data points for others.",0,14,,,1989,2002,2002,2285,13100,10,,3,FALSE,FALSE,FALSE,FALSE
1,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,2007,United Kingdom,EURODIAB,"Shows mortality breakdowns by attained age, time since diagnosis and cohort, but no significant differences between each group (Table 2). Some countries have already been included, but there are additional data points for others.",0,14,,,1989,2004,2005,2248,18567,19,,4.2,FALSE,FALSE,FALSE,FALSE
1,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,2007,Norway,EURODIAB,"Shows mortality breakdowns by attained age, time since diagnosis and cohort, but no significant differences between each group (Table 2). Some countries have already been included, but there are additional data points for others.",0,14,,,1989,2003,2005,3130,27673,19,,2,FALSE,FALSE,FALSE,FALSE
1,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,2007,United Kingdom,EURODIAB,"Shows mortality breakdowns by attained age, time since diagnosis and cohort, but no significant differences between each group (Table 2). Some countries have already been included, but there are additional data points for others.",0,14,,,1989,2002,2003,1310,9453,9,,2.9,FALSE,FALSE,FALSE,FALSE
1,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,2007,Sweden,EURODIAB,"Shows mortality breakdowns by attained age, time since diagnosis and cohort, but no significant differences between each group (Table 2). Some countries have already been included, but there are additional data points for others.",0,14,,,1989,2002,2002,7095,45160,14,,1.4,FALSE,FALSE,FALSE,FALSE
1,Early mortality in EURODIAB population-based cohorts of type 1 diabetes diagnosed in childhood since 1989,2007,Finland,EURODIAB,"Shows mortality breakdowns by attained age, time since diagnosis and cohort, but no significant differences between each group (Table 2). Some countries have already been included, but there are additional data points for others.",0,14,,,1989,2000,2003,4696,40312,27,,2.3,FALSE,FALSE,FALSE,FALSE
,Trends in the epidemiology of patients with diabetes in Japan,2010,Japan,,Only discusses incidence.,,,,,1997,2007,2007,,,,,,,,,
,Type 1 diabetes in Japan,2006,Japan,,Only discusses incidence.,,,,,,,,,,,,,,,,
,Cause-specific mortality in a population-based study of diabetes.,1991,United States,,Doesn't split T1D and T2D numbers. Only Wisconsin data.,,,,,,,,,,,,,,,,
,Early mortality in childhood diabetes in Austria--a population based cohort study.,1997,Austria,,"IDDM. Mortality rate looks like it's deaths/cases - NOT deaths/patient-years. Demographic table, but no mortatality stats for each demographic.",0,14,,,1979,1990,1990,1185,,6,,1.53,FALSE,TRUE,TRUE,FALSE
,"Incidence, prevalence, and mortality of diabetes in a large population. A report from the Skaraborg Diabetes Registry.",1999,Sweden,,"Doesn't split T1D and T2D numbers in mortality results/discussion. Table 2 has stats for deaths by actual age and age at diagnosis, but doesn't split T1D and T2D.",0,99,,,1991,1995,1995,,,,,,TRUE,TRUE,FALSE,FALSE
,"Clinical features, complications and mortality in type 1 (insulin-dependent) diabetic patients in Addis Ababa, Ethiopia, 1976-1990.",1992,Ethiopia,,Already done,,,,,,,,,,,,,,,,
,Cause-specific mortality in a cohort of patients with diabetes mellitus: a population-based study in Sweden.,2001,Sweden,,Doesn't split T1D and T2D numbers.,,,,,,,,,,,,,,,,
1,Long-term Mortality and End-Stage Renal Disease in a Type 1 Diabetes Population Diagnosed at Age 15–29 Years in Norway,2017,Norway,,,15,29,,,1978,1982,2013,719,21271.7,148,6.9600,4.4,FALSE,FALSE,FALSE,FALSE
1,Diabetes diagnosed before the age of 2 years: mortality in a British cohort 8-17 years after onset.,1992,United Kingdom,,Childhood diabetes.,0,2,,,1972,1981,1989,310,3845.23,7,1.8204,5.4,TRUE,TRUE,TRUE,FALSE
,Mortality and Cardiovascular Disease in Type 1 and Type 2 Diabetes.,2019,,,"Short review of clinical trials and trends. ""Although the incidence of type 1 diabetes is increasing in the USA [11], there has been a remarkable downward trend in type 1 diabetes mortality since the midcentury, which appears to have leveled off in the last decade of the twentieth century [12••].",,,,,,,,,,,,,,,,
,Diabetes mellitus. A review of mortality experience.,1967,United States,,Life insurance focus. No split between T1D and T2D numbers.,,,,,,,,,,,,,,,,
1,Mortality trends in type 1 diabetes. The Allegheny County (Pennsylvania) Registry 1965-1999.,2001,United States,Allegheny County type 1 diabetes incidence registry,"Pennsylvania. SMR calc slightly different. From [7] ""An SMR of 100 indicates a mortality identical tothat expected from the general population."" Same data as ""All-cause mortality trends in a large population-based cohort with long-standing childhood-onset type 1 diabetes: the Allegheny County type 1 diabetes registry.""",0,17,,,1965,1969,1999,353,10184.9,92,9.030,6.77,FALSE,FALSE,FALSE,TRUE
1,Mortality trends in type 1 diabetes. The Allegheny County (Pennsylvania) Registry 1965-1999.,2001,United States,Allegheny County type 1 diabetes incidence registry,"Pennsylvania. SMR calc slightly different. From [7] ""An SMR of 100 indicates a mortality identical tothat expected from the general population."" Same data as ""All-cause mortality trends in a large population-based cohort with long-standing childhood-onset type 1 diabetes: the Allegheny County type 1 diabetes registry.""",0,17,,,1970,1974,1999,391,9878.2,57,5.770,4.88,FALSE,FALSE,FALSE,TRUE
1,Mortality trends in type 1 diabetes. The Allegheny County (Pennsylvania) Registry 1965-1999.,2001,United States,Allegheny County type 1 diabetes incidence registry,"Pennsylvania. SMR calc slightly different. From [7] ""An SMR of 100 indicates a mortality identical tothat expected from the general population."" Same data as ""All-cause mortality trends in a large population-based cohort with long-standing childhood-onset type 1 diabetes: the Allegheny County type 1 diabetes registry.""",0,17,,,1975,1980,1999,331,7029.8,21,2.990,2.81,FALSE,FALSE,FALSE,TRUE
,"Diabetes mellitus: incidence, prevalence, survivorship, and causes of death in Rochester, Minnesota, 1945-1970.",1976,United States,,Doesn't split T1D and T2D numbers. Figure 1 suggests majority of cases diagnosed at adulthood. Minnesota. ,,,,,,,,,,,,,,,,
,Mortality of type 1 (insulin-dependent) diabetes mellitus in Denmark: a study of relative mortality in 2930 Danish type 1 diabetic patients diagnosed from 1933 to 1972.,1986,Denmark,,Figure 2 shows relative mortality as a function of diabetes duration. Focuses on odds-ratios for different covariates.,0,30,,,1933,1972,1983,2930,,841,,,TRUE,TRUE,TRUE,
,"Trends in all-cause and cardiovascular disease mortality among women and men with and without diabetes mellitus in the Framingham Heart Study, 1950 to 2005.",2009,United States,,"Massachusetts. ""All participants with type I diabetes mellitus, as identified by chart review, were excluded from analysis.""",,,,,,,,,,,,,,,,
,Mortality rates and the causes of death related to diabetes mellitus in Shanghai Songjiang District: an 11-year retrospective analysis of death certificates.,2015,China,,"Shanghai. Doesn't split T1D and T2D numbers (except number of deaths). Additional file, but most cases have unspecified diabetes type.",,,,,,,,,,21,,,,,,
,All-cause mortality trends in a large population-based cohort with long-standing childhood-onset type 1 diabetes: the Allegheny County type 1 diabetes registry.,2010,United States,Allegheny County childhood-onset type 1 diabetes registry,"Pennsylvania. Using this study instead of ""Mortality trends in type 1 diabetes. The Allegheny County (Pennsylvania) Registry 1965-1999."" as it is more up to date. Use 30-year follow up to compare more similar age distribution between the different cohorts (compared to overall follow up).",0,17,,,1965,1969,1999,355,9877.2,79,7.998,,FALSE,FALSE,FALSE,TRUE
,All-cause mortality trends in a large population-based cohort with long-standing childhood-onset type 1 diabetes: the Allegheny County type 1 diabetes registry.,2010,United States,Allegheny County childhood-onset type 1 diabetes registry,"Pennsylvania. Using this study instead of ""Mortality trends in type 1 diabetes. The Allegheny County (Pennsylvania) Registry 1965-1999."" as it is more up to date. Use 30-year follow up to compare more similar age distribution between the different cohorts (compared to overall follow up).",0,17,,,1970,1974,2002,391,10937.9,74,676.5,,FALSE,FALSE,FALSE,TRUE
,All-cause mortality trends in a large population-based cohort with long-standing childhood-onset type 1 diabetes: the Allegheny County type 1 diabetes registry.,2010,United States,Allegheny County childhood-onset type 1 diabetes registry,"Pennsylvania. Using this study instead of ""Mortality trends in type 1 diabetes. The Allegheny County (Pennsylvania) Registry 1965-1999."" as it is more up to date. Use 30-year follow up to compare more similar age distribution between the different cohorts (compared to overall follow up).",0,17,,,1975,1980,2007,329,9231.1,49,530.8,,FALSE,FALSE,FALSE,TRUE
1,Mortality and diabetes from a population based register in Yorkshire 1978-93.,1998,United Kingdom,,"Diagnosed Yorkshire, followd up throughout UK. IDDM.",0,16,,,1978,1993,1995,1854,17350.4,26,1.4900,2.47,FALSE,TRUE,TRUE,FALSE
