"authors","world_bank_name","iso3c","year_econ_ind","min_diagnosis_age","max_diagnosis_age","min_attained_age","max_attained_age","deaths","person_years","smr","coarse_year","income_class"
"Condie et al. (2020)","Pakistan","PAK",2016,0,24,5,29,"3",246,9.4,"2010","LM"
"Rakhimova, G N; Alimova, N U; Ryaboshtan, A; {others}","Uzbekistan","UZB",2006,0,14,16,30,"130",NA,21.3,"2000","LM"
"Groop, Per-Henrik; Thomas, Merlin; Feodoroff, Maija; Forsblom, Carol; Harjutsalo, Valma","Finland","FIN",1997,0,14,34,48,"84",106992,2.58,"1990","H"
"Evans‚ÄêCheung, T C; Bodansky, H J; {others}","United Kingdom","GBR",1996,0,29,37,66,"229",100959,4.3,"1990","H"
"Morgan (2018)","United Kingdom","GBR",2000,0,14,0,14,"10",14086,4.43,"2000","H"
"Morgan (2018)","United Kingdom","GBR",2000,0,14,15,19,"10",9325,2.04,"2000","H"
"Morgan (2018)","United Kingdom","GBR",2000,0,14,20,24,"9",6907,1.9,"2000","H"
"Morgan (2018)","United Kingdom","GBR",2000,0,14,25,29,"17",4585,5.4,"2000","H"
"Morgan (2018)","United Kingdom","GBR",2000,0,14,30,34,"6",2755,2.85,"2000","H"
"Morgan (2018)","United Kingdom","GBR",2000,0,14,35,99,"7",2106,2.52,"2000","H"
"Reynolds, Kristi; Saydah, Sharon H; Isom, Scott; Divers, Jasmin; Lawrence, Jean M; Dabelea, Dana; Mayer-Davis, Elizabeth J; Imperatore, Giuseppina; Bell, Ronny A; Hamman, Richard F","United States","USA",2006,0,19,8,27,"26",36810,1.1,"2000","H"
"Gomes, Marilia B; Almeida, Ana P; Santos, Deborah C; Lev£o, Eliete; Cunha, Edna F; Negrato, Carlos A","Brazil","BRA",1994,0,75,41,99,"62",18180,3.13,"1990","UM"
"Ameyaw, Emmanuel; Asafo-Agyei, Serwah B; Thavapalan, Sumithira; Middlehurst, Angela C; Ogle, Graham D","Ghana","GHA",2014,0,19,4,23,"6",186,13.25,"2010","LM"
"Duarte Gv=mez, Elizabeth; Gregory, Gabriel Andrew; Castrati Nostas, Miriam; Middlehurst, Angela Christine; Jenkins, Alicia Josephine; Ogle, Graham David","Bolivia","BOL",2011,0,24,12,36,"2",870,1.17,"2010","LM"
"Sandahl, K; Nielsen, L B; Svensson, J; Johannesen, J; Pociot, F; Mortensen, H B; Hougaard, P; Broe, R; Rasmussen, M L; Grauslund, J; Peto, T; Olsen, B S","Denmark","DNK",1999,0,20,24,44,"49",17337,4.8,"1990","H"
"Gagnum (2015)","Norway","NOR",1995,15,29,50,64,"148",21272,4.4,"1990","H"
"Marshall, Sara L; Edidin, Deborah V; Arena, Vincent C; Becker, Dorothy J; Bunker, Clareann H; Gishoma, Crispin; Gishoma, Francois; LaPorte, Ronald E; Kaberuka, Vedaste; Ogle, Graham; Rubanzana, Wilson; Sibomana, Laurien; Orchard, Trevor J","Rwanda","RWA",2008,0,25,8,33,"33",1823,9.41,"2000","L"
