loc_id,iso3c,world_bank_name,united_nations_name,jdrf_region_name,jdrf_broad_region_name
4,AFG,Afghanistan,Afghanistan,South Asia,Asia-Pacific
8,ALB,Albania,Albania,Western Europe,Europe
12,DZA,Algeria,Algeria,North Africa,Middle East and Africa
24,AGO,Angola,Angola,Sub-Saharan Africa,Middle East and Africa
28,ATG,Antigua and Barbuda,Antigua and Barbuda,Central America and The Caribbean,Americas
32,ARG,Argentina,Argentina,South America,Americas
51,ARM,Armenia,Armenia,Middle East,Middle East and Africa
533,ABW,Aruba,Aruba,Central America and The Caribbean,Americas
36,AUS,Australia,Australia,Australasia,Asia-Pacific
40,AUT,Austria,Austria,Western Europe,Europe
31,AZE,Azerbaijan,Azerbaijan,Middle East,Middle East and Africa
44,BHS,Bahamas,Bahamas,Central America and The Caribbean,Americas
48,BHR,Bahrain,Bahrain,Middle East,Middle East and Africa
50,BGD,Bangladesh,Bangladesh,South Asia,Asia-Pacific
52,BRB,Barbados,Barbados,Central America and The Caribbean,Americas
112,BLR,Belarus,Belarus,Eastern Europe,Europe
56,BEL,Belgium,Belgium,Western Europe,Europe
84,BLZ,Belize,Belize,Central America and The Caribbean,Americas
204,BEN,Benin,Benin,Sub-Saharan Africa,Middle East and Africa
64,BTN,Bhutan,Bhutan,South Asia,Asia-Pacific
68,BOL,Bolivia,Bolivia (Plurinational State of),South America,Americas
70,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Western Europe,Europe
72,BWA,Botswana,Botswana,Sub-Saharan Africa,Middle East and Africa
76,BRA,Brazil,Brazil,South America,Americas
96,BRN,Brunei Darussalam,Brunei Darussalam,South-East Asia,Asia-Pacific
100,BGR,Bulgaria,Bulgaria,Eastern Europe,Europe
854,BFA,Burkina Faso,Burkina Faso,Sub-Saharan Africa,Middle East and Africa
108,BDI,Burundi,Burundi,Sub-Saharan Africa,Middle East and Africa
116,KHM,Cambodia,Cambodia,South-East Asia,Asia-Pacific
120,CMR,Cameroon,Cameroon,Sub-Saharan Africa,Middle East and Africa
124,CAN,Canada,Canada,North America,Americas
132,CPV,Cape Verde,Cabo Verde,Sub-Saharan Africa,Middle East and Africa
140,CAF,Central African Republic,Central African Republic,Sub-Saharan Africa,Middle East and Africa
