world_bank_name,united_nations_name,country_wk,drop_country,iso3c,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,jdrf_broad_region_code,legacy_region_code,legacy_region_name,loc_id
Afghanistan,Afghanistan,Afghanistan,FALSE,AFG,LIC,South Asia,Asia-Pacific,APAC,EMME,Middle East & North Africa,4
Albania,Albania,Albania,FALSE,ALB,UMIC,Western Europe,Europe,EUR,EUR,Europe,8
Algeria,Algeria,Algeria,FALSE,DZA,UMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,12
Angola,Angola,Angola,FALSE,AGO,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,24
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,FALSE,ATG,HIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,28
Argentina,Argentina,Argentina,FALSE,ARG,HIC,South America,Americas,AMER,SACA,South America & Central America,32
Armenia,Armenia,Armenia,FALSE,ARM,UMIC,Middle East,Middle East and Africa,MEA,EUR,Europe,51
Aruba,Aruba,Aruba,TRUE,ABW,HIC,Central America and The Caribbean,Americas,AMER,N/A,North America & Carribbean,533
Australia,Australia,Australia,FALSE,AUS,HIC,Australasia,Asia-Pacific,MEA,WP,Western Pacific,36
Austria,Austria,Austria,FALSE,AUT,HIC,Western Europe,Europe,EUR,EUR,Europe,40
Azerbaijan,Azerbaijan,Azerbaijan,FALSE,AZE,UMIC,Middle East,Middle East and Africa,MEA,EUR,Europe,31
Bahamas,Bahamas,Bahamas,FALSE,BHS,HIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,44
Bahrain,Bahrain,Bahrain,FALSE,BHR,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,48
Bangladesh,Bangladesh,Bangladesh,FALSE,BGD,LMIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,50
Barbados,Barbados,Barbados,FALSE,BRB,HIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,52
Belarus,Belarus,Belarus,FALSE,BLR,UMIC,Eastern Europe,Europe,EUR,EUR,Europe,112
Belgium,Belgium,Belgium,FALSE,BEL,HIC,Western Europe,Europe,EUR,EUR,Europe,56
Belize,Belize,Belize,FALSE,BLZ,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,84
Benin,Benin,Benin,FALSE,BEN,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,204
Bhutan,Bhutan,Bhutan,FALSE,BTN,LMIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,64
Bolivia,Bolivia (Plurinational State of),Bolivia,FALSE,BOL,LMIC,South America,Americas,AMER,SACA,South America & Central America,68
