source,resp_id,elect_part,country_wk,region_wk,inst_name,inst_role,inst_role_other,med_age_diag_center,med_age_diag_center_src,med_age_diag_reg,med_age_diag_reg_src,inst_hba1c_avg,inst_hba1c_max,inst_hba1c_src,reg_hba1c_avg,reg_hba1c_max,reg_hba1c_src,inst_dka_diag_rate,inst_dka_diag_src,reg_dka_diag_rate,reg_dka_diag_src,od_2010_rate,od_2010_src,od_2000_2010_rate,od_2000_2010_src,od_pre_2000_rate,od_pre_2000_src,inst_treat_2xhi,reg_treat_2xhi,inst_treat_2_shortlong,reg_treat_2_shortlong,inst_treat_3plus_shortlong,reg_treat_3plus_shortlong,inst_treat_3_analog,reg_treat_3_analog,inst_treat_pump,reg_treat_pump,inst_treat_pump_suspend,reg_treat_pump_suspend,inst_treat_pump_cloop,reg_treat_pump_cloop,treat_other,inst_measure_clinic,reg_measure_clinic,inst_measure_fewdays,reg_measure_fewdays,inst_measure_1_2_strips_day,reg_measure_1_2_strips_day,inst_measure_3_4_strips_day,reg_measure_3_4_strips_day,inst_measure_5_more_strips_day,reg_measure_5_more_strips_day,inst_measure_flash_glucose,reg_measure_flash_glucose,inst_measure_continuous,reg_measure_continuous,inst_measure_continuous_cloop,reg_measure_continuous_cloop,measure_other,inst_educ_doctor,reg_educ_doctor,inst_educ_nurse,reg_educ_nurse,inst_educ_other_in_person,reg_educ_other_in_person,inst_educ_camp_wshops,reg_educ_camp_wshops,inst_educ_peer_mentor,reg_educ_peer_mentor,inst_educ_printed_materials_local,reg_educ_printed_materials_local,inst_educ_printed_materials_foreign,reg_educ_printed_materials_foreign,inst_educ_online_local,reg_educ_online_local,inst_educ_online_foreign,reg_educ_online_foreign,educ_other,cost_currency,cost_insulin,cost_consumables,cost_devices,cost_med_appts,cost_insurance,cost_other,cost_not_afford_pc,followup_share,followup_results,followup_review,followup_review_country,followup_ispad,followup_plan,followup_other,inst_support_nurse_educ,reg_support_nurse_educ,inst_support_psych,reg_support_psych,inst_support_social_worker,reg_support_social_worker,inst_support_dietician,reg_support_dietician,inst_support_comm_health_wkr,reg_support_comm_health_wkr,support_other,inst_prof_test_hba1c,reg_prof_test_hba1c,inst_prof_test_weight,reg_prof_test_weight,inst_prof_test_height,reg_prof_test_height,inst_prof_test_bp,reg_prof_test_bp,inst_prof_test_retina,reg_prof_test_retina,inst_prof_test_ualb,reg_prof_test_ualb,inst_prof_test_lipids,reg_prof_test_lipids,world_bank_name,united_nations_name,iso3c,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,loc_id,income_group
online,12205402612,Yes! I'd like to complete the survey now (est. 10 minutes),New Zealand,Waikato,Waikato District Health Board,Dietitian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand,New Zealand,NZL,HIC,Australasia,Asia-Pacific,554,High income
online,12201304921,Yes! I'd like to complete the survey now (est. 10 minutes),Peru,lima,INSTITUTO DE SALUD DEL NIÑO,Paediatric endocrinologist,NA,NA,NA,8,Clinical records,10.0-10.9% (85.8-96.6 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Clinical impression,10.0-10.9% (85.8-96.6 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Personal estimate,70-80%,Clinical records,70-80%,Personal estimate,10-20%,Personal estimate,20-30%,Personal estimate,20-30%,Personal estimate,0%,10%,0%,10%,10%,40%,90%,50%,0%,10%,0%,0%,0%,0%,NA,0%,20%,10%,20%,10%,20%,60%,20%,10%,10%,10%,10%,0%,0%,0%,0%,NA,At your institution,In your region,At your institution,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NUEVOS SOLES,60 00,3600,5000,240,5000,NA,40,Sharing the survey with others in my network,Seeing survey results,NA,NA,NA,NA,NA,At your institution,NA,At your institution,NA,At your institution,NA,At your institution,In your region,NA,NA,NA,Every visit,Annually,Every visit,Every visit,Every visit,Annually,Every visit,Every visit,Annually,Annually,Annually,Annually,Annually,Annually,Peru,Peru,PER,UMIC,South America,Americas,604,Middle income
online,12199046693,Yes! I'd like to complete the survey now (est. 10 minutes),Egypt,Cairo,Ain Shams university,Paediatric endocrinologist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egypt,Egypt,EGY,LMIC,North Africa,Middle East and Africa,818,Lower income
online,12194529346,Yes! I'd like to complete the survey now (est. 10 minutes),Mexico,Mexico City,Public Health Services of Mexico City,Paediatric endocrinologist,NA,NA,NA,14,Registry data,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Registry data,Unknown,Unknown,Other,80-90%,Personal estimate,80-90%,Personal estimate,0%,Personal estimate,0-10%,Personal estimate,0-10%,Personal estimate,0%,0%,0%,10%,70%,90%,30%,10%,10%,10%,10%,10%,10%,10%,None,0%,10%,20%,80%,20%,20%,20%,10%,80%,10%,10%,10%,10%,10%,10%,10%,NA,At your institution,In your region,At your institution,NA,At your institution,NA,NA,In your region,NA,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,Multidisciplinary team,Mexican Pesos,1500 - 3000 per month,3000 average,"1000 - 10,000",0 - 2000 per month (public - private),0 - 2000 per month (public - private),NA,70,NA,Seeing survey results,NA,Reviewing and providing commentary (e.g. for your country),NA,Helping develop action plans for medical professionals,NA,At your institution,NA,At your institution,NA,At your institution,NA,At your institution,NA,NA,NA,"Sports medicine, Chef, Physical activator, Orthopedist, Podiatrist, Ophtalmology",Every visit,Less often,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Annually,Less often,Annually,Less often,Annually,Less often,Mexico,Mexico,MEX,UMIC,Central America and The Caribbean,Americas,484,Middle income
online,12193148873,Yes! I'd like to complete the survey now (est. 10 minutes),Argentina,CABA,ELIZALDE HOSPITAL AND CLINICA DEL NINO,Paediatric endocrinologist,NA,NA,NA,9,Personal estimate,9.0-9.9% (74.9-85.7 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Personal estimate,NA,NA,NA,70-80%,Personal estimate,NA,NA,20-30%,Personal estimate,NA,NA,NA,NA,NA,NA,NA,NA,30%,NA,60%,NA,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70%,NA,NA,NA,30%,NA,NA,NA,NA,NA,NA,At your institution,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,Seeing survey results,NA,NA,Becoming an ISPAD member,Helping develop action plans for medical professionals,NA,At your institution,NA,NA,NA,At your institution,NA,At your institution,NA,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Every visit,NA,Annually,NA,Annually,NA,Annually,NA,Argentina,Argentina,ARG,HIC,South America,Americas,32,High income
online,12191666728,Yes! I'd like to complete the survey now (est. 10 minutes),Brazil,SP,State university of campinas,Paediatric endocrinologist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,Brazil,BRA,UMIC,South America,Americas,76,Middle income
online,12189186907,Yes! I'd like to complete the survey now (est. 10 minutes),Nigeria,Rivers state Port Harcourt,University of Port Harcourt Teaching Hospital,Paediatric endocrinologist,NA,NA,NA,13,Clinical records,≥ 12% (≥ 107.7 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Clinical records,NA,NA,NA,90-100%,Clinical records,90-100%,Clinical records,20-30%,Personal estimate,NA,NA,NA,NA,50%,NA,0%,NA,0%,NA,50%,NA,0%,NA,0%,NA,0%,NA,NA,NA,NA,80%,NA,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NIGERIAN NAIRA,"10,000 - 20,000","3,000",NA,NA,NA,NA,86,Sharing the survey with others in my network,Seeing survey results,NA,Reviewing and providing commentary (e.g. for your country),NA,NA,NA,NA,NA,NA,NA,NA,NA,At your institution,NA,NA,NA,NA,Every visit,NA,Every visit,NA,Every visit,NA,Every visit,NA,Less often,NA,Less often,NA,Less often,NA,Nigeria,Nigeria,NGA,LMIC,Sub-Saharan Africa,Middle East and Africa,566,Lower income
online,12186721998,Yes! I'd like to complete the survey now (est. 10 minutes),Brazil,Rio Grande do Sul,Hospital de Clinicas de Porto Alegre,Endocrinologist,NA,NA,NA,13,Personal estimate,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Clinical impression,8.0-8.9% (63.9-74.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Clinical impression,0-10%,Clinical records,0-10%,Personal estimate,0-10%,Personal estimate,0-10%,Personal estimate,0-10%,Personal estimate,0%,10%,10%,10%,50%,40%,30%,30%,0%,10%,0%,0%,0%,0%,NA,10%,20%,20%,10%,20%,20%,30%,20%,10%,10%,10%,10%,0%,10%,0%,0%,NA,At your institution,In your region,At your institution,NA,NA,NA,NA,NA,NA,NA,At your institution,In your region,NA,NA,NA,NA,NA,NA,NA,Brazilian Real,1200,800,200,500,2500,600,33,NA,Seeing survey results,NA,NA,NA,NA,NA,At your institution,NA,At your institution,NA,At your institution,NA,At your institution,In your region,NA,In your region,NA,Annually,Every visit,Every visit,Every visit,Annually,Annually,Every visit,Every visit,Every two years,Less often,Annually,Less often,Annually,Annually,Brazil,Brazil,BRA,UMIC,South America,Americas,76,Middle income
online,12184830957,Yes! I'd like to complete the survey now (est. 10 minutes),Germany,Nordrhein-Westfalen,"Klink für Kinder und Jugendliche, Evangelisches Krankenhaus Oberhausen",Paediatric endocrinologist,NA,NA,NA,9,Clinical records,7.0-7.9% (53.0-63.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Registry data,7.0-7.9% (53.0-63.8 mmol/mol),≥ 12% (≥ 107.7 mmol/mol),Registry data,50-60%,Registry data,70-80%,Registry data,0%,Registry data,0%,Registry data,0-10%,Registry data,0%,10%,10%,20%,40%,50%,40%,50%,70%,70%,0%,0%,10%,10%,NA,0%,10%,10%,10%,30%,30%,60%,60%,20%,20%,40%,40%,40%,30%,0%,0%,NA,At your institution,In your region,At your institution,In your region,NA,NA,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,Germany,DEU,HIC,Western Europe,Europe,276,High income
online,12184408576,Yes! I'd like to complete the survey now (est. 10 minutes),Sweden,Västra Götaland,The Queen Silvia Childrens Hospital,Paediatric endocrinologist,NA,NA,NA,9,Registry data,< 7.0% (< 53.0 mmol/mol),NA,Registry data,7.0-7.9% (53.0-63.8 mmol/mol),NA,Registry data,10-20%,Registry data,10-20%,Registry data,0%,Registry data,0%,Registry data,0%,Registry data,0%,0%,0%,0%,0%,0%,30%,30%,70%,70%,60%,60%,0%,0%,NA,0%,NA,0%,NA,0%,NA,0%,NA,0%,NA,40%,NA,60%,NA,0%,0%,NA,At your institution,In your region,At your institution,In your region,NA,NA,At your institution,In your region,NA,NA,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,NA,SEK Swedish crowns; everything is reimbursed except travel,NA,NA,NA,NA,NA,NA,NA,NA,Seeing survey results,NA,NA,NA,Helping develop action plans for medical professionals,NA,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,NA,NA,NA,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Annually,Annually,Every two years,Every two years,Every visit,Annually,Annually,Annually,Sweden,Sweden,SWE,HIC,Nordic Countries,Europe,752,High income
online,12183902778,Yes! I'd like to complete the survey now (est. 10 minutes),Bulgaria,Sofia,University Children's Hospital,DOCTOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bulgaria,Bulgaria,BGR,UMIC,Eastern Europe,Europe,100,Middle income
online,12183695767,Yes! I'd like to complete the survey now (est. 10 minutes),Sweden,Linköping university hospital,"Crown Princess Victoria Children´s Hospital, Linköping",Paediatric endocrinologist,NA,NA,NA,9,Registry data,< 7.0% (< 53.0 mmol/mol),9.0-9.9% (74.9-85.7 mmol/mol),Registry data,< 7.0% (< 53.0 mmol/mol),9.0-9.9% (74.9-85.7 mmol/mol),Registry data,20-30%,Registry data,20-30%,Registry data,0%,Registry data,0-10%,Registry data,0-10%,Registry data,0%,0%,0%,0%,0%,0%,40%,40%,60%,60%,20%,20%,10%,10%,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,30%,30%,70%,70%,20%,20%,NA,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,NA,NA,NA,SEK,0,0,0,0,0,1000,0,Sharing the survey with others in my network,Seeing survey results,NA,Reviewing and providing commentary (e.g. for your country),NA,Helping develop action plans for medical professionals,NA,At your institution,In your region,At your institution,In your region,At your institution,In your region,At your institution,In your region,NA,NA,When needed,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Every visit,Every two years,Every two years,Every visit,Every visit,Annually,Annually,Sweden,Sweden,SWE,HIC,Nordic Countries,Europe,752,High income
online,12183686664,Yes! I'd like to complete the survey now (est. 10 minutes),Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Denmark,Denmark,DNK,HIC,Nordic Countries,Europe,208,High income
online,12183558823,Yes! I'd like to complete the survey now (est. 10 minutes),India,Gujarat,Rudraksha Institute of Medical Sciences,Endocrinologist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,India,India,IND,LMIC,South Asia,Asia-Pacific,356,Lower income
