country,iso3c,year,dm_mortrate,avail_dialysis,avail_diabtest,avail_diabtest_ogtt,avail_diabtest_hba1c,avail_diabreg,univ_leg,national_ehr
Afghanistan,AFG,2019,29.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
Angola,AGO,2019,67.6,TRUE,NA,TRUE,FALSE,TRUE,FALSE,NA
Albania,ALB,2019,8.6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Andorra,AND,2019,9.4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
United Arab Emirates,ARE,2019,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Argentina,ARG,2019,22.2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Armenia,ARM,2019,68.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Antigua and Barbuda,ATG,2019,90.7,TRUE,TRUE,TRUE,NA,FALSE,TRUE,NA
Australia,AUS,2019,10.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Austria,AUT,2019,22.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Azerbaijan,AZE,2019,26.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Burundi,BDI,2019,59.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Belgium,BEL,2019,8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Benin,BEN,2019,53.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Burkina Faso,BFA,2019,58,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bangladesh,BGD,2019,24.8,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Bulgaria,BGR,2019,13.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Bahrain,BHR,2019,73.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Bahamas,BHS,2019,47.9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Bosnia and Herzegovina,BIH,2019,12.7,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE
Belarus,BLR,2019,4.2,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE
Belize,BLZ,2019,62.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Bolivia (Plurinational State of),BOL,2019,33.3,NA,TRUE,NA,NA,FALSE,TRUE,NA
Brazil,BRA,2019,39.2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
Barbados,BRB,2019,55.2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Brunei Darussalam,BRN,2019,54.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
Bhutan,BTN,2019,22.3,TRUE,TRUE,TRUE,NA,TRUE,TRUE,FALSE
Botswana,BWA,2019,38.4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
Central African Republic,CAF,2019,55.9,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Canada,CAN,2019,14.8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Switzerland,CHE,2019,10.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Chile,CHL,2019,22.6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
China,CHN,2019,11.6,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Côte d'Ivoire,CIV,2019,58,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Cameroon,CMR,2019,53.1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Democratic Republic of the Congo,COD,2019,58.8,FALSE,NA,NA,FALSE,TRUE,FALSE,NA
Congo,COG,2019,46.5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Cook Islands,COK,2019,38.4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Colombia,COL,2019,30.3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
Comoros,COM,2019,67.6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Cabo Verde,CPV,2019,58.1,TRUE,NA,TRUE,FALSE,TRUE,FALSE,TRUE
Costa Rica,CRI,2019,29.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Cuba,CUB,2019,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Cyprus,CYP,2019,3.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Czechia,CZE,2019,7.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Germany,DEU,2019,13.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Djibouti,DJI,2019,20.7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA
Dominica,DMA,2019,52.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Denmark,DNK,2019,13.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dominican Republic,DOM,2019,58.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Algeria,DZA,2019,35.4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Ecuador,ECU,2019,44.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
Egypt,EGY,2019,21.2,NA,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Eritrea,ERI,2019,44.7,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Spain,ESP,2019,10.4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Estonia,EST,2019,12.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Ethiopia,ETH,2019,52.2,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE
Finland,FIN,2019,5.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Fiji,FJI,2019,44,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
France,FRA,2019,9.6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
Micronesia (Federated States of),FSM,2019,45.6,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Gabon,GAB,2019,44.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
United Kingdom of Great Britain and Northern Ireland,GBR,2019,5.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Georgia,GEO,2019,9.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Ghana,GHA,2019,22.4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Guinea,GIN,2019,54.2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA
Gambia,GMB,2019,50.8,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Guinea-Bissau,GNB,2019,58.5,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Equatorial Guinea,GNQ,2019,59,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE
Greece,GRC,2019,4.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Grenada,GRD,2019,69.2,FALSE,TRUE,TRUE,NA,FALSE,FALSE,NA
Guatemala,GTM,2019,46.3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Guyana,GUY,2019,97.9,TRUE,NA,TRUE,TRUE,TRUE,FALSE,NA
Honduras,HND,2019,66.2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Croatia,HRV,2019,12.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Haiti,HTI,2019,66.7,TRUE,NA,TRUE,NA,TRUE,FALSE,NA
Hungary,HUN,2019,13.1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Indonesia,IDN,2019,32.5,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA
India,IND,2019,22.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
Ireland,IRL,2019,8.3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Iran (Islamic Republic of),IRN,2019,16.9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Iraq,IRQ,2019,21,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
